,msg_uuid,msg_time,dmp_id,dmp_status,user_action,resource_name,creation_time,start_time,end_time,flight_count,average_gate_hold,max_gate_hold,metering_mode,metering_display,lead_time,target_queue_buffers,metering_display_entry_offsets,metering_display_exit_offsets,meteorological_condition,active_runway_departure,active_runway_arrival,eta_msg_time,sta_msg_time,shift,lookahead,start_prediction_accuracy,end_prediction_accuracy,count_prediction_accuracy,average_prediction_accuracy,max_prediction_accuracy
20,cdfb8f69-0a78-4b76-a7e3-279ce3a5988f,2018-08-03 08:32:57,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:01,2018-06-26 14:28:01,36,98174,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:06:01,2018-08-03 08:32:57,272,-2720.0,,,,,
21,94497c1f-1b82-49e6-951d-e0d8bc3fe5d3,2018-08-03 08:32:57,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:11,2018-06-26 14:28:11,36,98174,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:06:11,2018-08-03 08:32:57,271,-2710.0,,,,,
22,b9335a8a-8bbd-4a29-924e-02e65dc2f63e,2018-08-03 08:32:58,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:21,2018-06-26 14:27:21,36,98265,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:06:21,2018-08-03 08:32:58,270,-2700.0,,,,,
23,204002e1-9e44-4abd-87e7-9ccc92a27f43,2018-08-03 08:32:58,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:31,2018-06-26 14:27:31,36,98050,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:06:31,2018-08-03 08:32:58,269,-2690.0,,,,,
24,876f9fc6-3a92-4262-81c2-5edf7e4d78a2,2018-08-03 08:32:59,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:41,2018-06-26 14:27:41,36,97959,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:06:41,2018-08-03 08:32:59,268,-2680.0,,,,,
25,e4529208-a4fa-4040-b4ef-745dc6201e64,2018-08-03 08:32:59,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:51,2018-06-26 14:27:51,36,98126,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:06:51,2018-08-03 08:32:59,267,-2670.0,,,,,
26,d7952021-f6c2-41ab-b0ac-8b668ae80662,2018-08-03 08:33:00,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:01,2018-06-26 14:28:01,36,98231,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:07:01,2018-08-03 08:33:00,266,-2660.0,,,,,
27,7843432e-40f8-4c1c-9fd2-f6bfb50da3be,2018-08-03 08:33:00,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:11,2018-06-26 14:28:11,36,98265,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:07:11,2018-08-03 08:33:00,265,-2650.0,,,,,
28,fca9574f-1c28-4f88-9847-8e85ac456b60,2018-08-03 08:33:01,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:21,2018-06-26 14:27:21,36,98154,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:07:21,2018-08-03 08:33:01,264,-2640.0,,,,,
29,3548d249-3d0a-486f-a971-82d5b13a532f,2018-08-03 08:33:01,CLT_36C_2018-06-26T132941Z_2018-06-26T142841Z,AFFIRMED,USER_AFFIRM,36C,2018-06-26 13:02:41,2018-06-26 13:29:31,2018-06-26 14:27:31,36,98135,341596,TIME_BASED_METERING,,1800000,36C:600000 23:0 18L:480000 5:0 36L:0 18R:0 18C:480000 DEFAULT:720011 36R:720000,36C:720000 23:0 18L:600000 5:0 36L:0 18R:0 18C:600000 DEFAULT:780011 36R:840000,36C:300000 23:0 18L:240000 5:0 36L:0 18R:0 18C:240000 DEFAULT:600011 36R:360000,VMC,36L.36C.36R.5,36L.36C.36R.5,2018-06-26 13:07:31,2018-08-03 08:33:01,263,-2630.0,,,,,
